scenario_id,source_model_id,candidate_id,design_role,design_class,tau0,zeta2,alpha_prior_sd
asymmetric_laplace_tail,joint_qdesn_rhs_vb,asymmetric_laplace_tail__joint_qdesn_rhs_vb__alpha0p75_tau0_0p5_zeta2_16,frozen_base_fixture,frozen_base_fixture,0.5,16,0.75
asymmetric_laplace_tail,qdesn_rhs_independent_vb,asymmetric_laplace_tail__qdesn_rhs_independent_vb__phase120_tau0_0p35_alpha0p5_zeta2_32_inner14_iter2880,frozen_base_fixture,frozen_base_fixture,0.35,32,0.5
asymmetric_laplace_tail,joint_exqdesn_rhs_vb,asymmetric_laplace_tail__joint_exqdesn_rhs_vb__phase149__alpha_sd_upper__tau0_0p5__zeta2_32__alpha_1p5__zero,frozen_base_fixture,frozen_base_fixture,0.5,32,1.5
asymmetric_laplace_tail,exqdesn_rhs_independent_vb,asymmetric_laplace_tail__exqdesn_rhs_independent_vb__selected_controls,frozen_base_fixture,frozen_base_fixture,0.5,16,0.5
gaussian_mixture_bridge,joint_qdesn_rhs_vb,gaussian_mixture_bridge__joint_qdesn_rhs_vb__selected_controls,frozen_base_fixture,frozen_base_fixture,0.5,16,0.5
gaussian_mixture_bridge,qdesn_rhs_independent_vb,gaussian_mixture_bridge__qdesn_rhs_independent_vb__tau0_0p25_alpha0p35_zeta2_8,frozen_base_fixture,frozen_base_fixture,0.25,8,0.35
gaussian_mixture_bridge,joint_exqdesn_rhs_vb,gaussian_mixture_bridge__joint_exqdesn_rhs_vb__phase149__alpha_sd_lower__tau0_0p5__zeta2_16__alpha_0p35__zero,frozen_base_fixture,frozen_base_fixture,0.5,16,0.35
gaussian_mixture_bridge,exqdesn_rhs_independent_vb,gaussian_mixture_bridge__exqdesn_rhs_independent_vb__tau0_0p75_alpha0p75_gamma_zero,frozen_base_fixture,frozen_base_fixture,0.75,16,0.75
laplace_bridge,joint_qdesn_rhs_vb,laplace_bridge__joint_qdesn_rhs_vb__alpha0p75_tau0_0p5_zeta2_16,frozen_base_fixture,frozen_base_fixture,0.5,16,0.75
laplace_bridge,qdesn_rhs_independent_vb,laplace_bridge__qdesn_rhs_independent_vb__inner12_iter1920_tau0_0p35,frozen_base_fixture,frozen_base_fixture,0.35,16,0.5
