spec_id,m,alpha,rho,pi_w,pi_in,win_scale_global,win_scale_bias,input_bound
d1n300_m030_a085_r090_piw003_piin100_wg020_wb020_boundnone,30,0.85,0.90,0.03,1.00,0.20,0.20,none
d1n300_m035_a085_r090_piw003_piin100_wg020_wb020_boundnone,35,0.85,0.90,0.03,1.00,0.20,0.20,none
d1n300_m035_a085_r095_piw003_piin100_wg020_wb020_boundnone,35,0.85,0.95,0.03,1.00,0.20,0.20,none
d1n300_m035_a090_r090_piw003_piin100_wg020_wb020_boundnone,35,0.90,0.90,0.03,1.00,0.20,0.20,none
d1n300_m035_a090_r095_piw003_piin100_wg020_wb020_boundnone,35,0.90,0.95,0.03,1.00,0.20,0.20,none
d1n300_m035_a095_r090_piw003_piin100_wg020_wb020_boundnone,35,0.95,0.90,0.03,1.00,0.20,0.20,none
d1n300_m035_a095_r095_piw003_piin100_wg020_wb020_boundnone,35,0.95,0.95,0.03,1.00,0.20,0.20,none
d1n300_m045_a085_r090_piw003_piin100_wg020_wb020_boundnone,45,0.85,0.90,0.03,1.00,0.20,0.20,none
d1n300_m045_a085_r095_piw003_piin100_wg020_wb020_boundnone,45,0.85,0.95,0.03,1.00,0.20,0.20,none
d1n300_m045_a090_r090_piw003_piin100_wg020_wb020_boundnone,45,0.90,0.90,0.03,1.00,0.20,0.20,none
d1n300_m045_a090_r095_piw003_piin100_wg020_wb020_boundnone,45,0.90,0.95,0.03,1.00,0.20,0.20,none
d1n300_m045_a095_r090_piw003_piin100_wg020_wb020_boundnone,45,0.95,0.90,0.03,1.00,0.20,0.20,none
d1n300_m045_a095_r095_piw003_piin100_wg020_wb020_boundnone,45,0.95,0.95,0.03,1.00,0.20,0.20,none
d1n300_m060_a085_r090_piw003_piin100_wg020_wb020_boundnone,60,0.85,0.90,0.03,1.00,0.20,0.20,none
d1n300_m060_a085_r095_piw003_piin100_wg020_wb020_boundnone,60,0.85,0.95,0.03,1.00,0.20,0.20,none
d1n300_m060_a090_r090_piw003_piin100_wg020_wb020_boundnone,60,0.90,0.90,0.03,1.00,0.20,0.20,none
d1n300_m060_a090_r095_piw003_piin100_wg020_wb020_boundnone,60,0.90,0.95,0.03,1.00,0.20,0.20,none
d1n300_m060_a095_r090_piw003_piin100_wg020_wb020_boundnone,60,0.95,0.90,0.03,1.00,0.20,0.20,none
d1n300_m060_a095_r095_piw003_piin100_wg020_wb020_boundnone,60,0.95,0.95,0.03,1.00,0.20,0.20,none
d1n300_m090_a085_r090_piw003_piin100_wg020_wb020_boundnone,90,0.85,0.90,0.03,1.00,0.20,0.20,none
d1n300_m090_a085_r095_piw003_piin100_wg020_wb020_boundnone,90,0.85,0.95,0.03,1.00,0.20,0.20,none
d1n300_m090_a090_r090_piw003_piin100_wg020_wb020_boundnone,90,0.90,0.90,0.03,1.00,0.20,0.20,none
d1n300_m090_a090_r095_piw003_piin100_wg020_wb020_boundnone,90,0.90,0.95,0.03,1.00,0.20,0.20,none
d1n300_m090_a095_r090_piw003_piin100_wg020_wb020_boundnone,90,0.95,0.90,0.03,1.00,0.20,0.20,none
d1n300_m090_a095_r095_piw003_piin100_wg020_wb020_boundnone,90,0.95,0.95,0.03,1.00,0.20,0.20,none
d1n300_m120_a085_r090_piw003_piin100_wg020_wb020_boundnone,120,0.85,0.90,0.03,1.00,0.20,0.20,none
d1n300_m120_a085_r095_piw003_piin100_wg020_wb020_boundnone,120,0.85,0.95,0.03,1.00,0.20,0.20,none
d1n300_m120_a090_r090_piw003_piin100_wg020_wb020_boundnone,120,0.90,0.90,0.03,1.00,0.20,0.20,none
d1n300_m120_a090_r095_piw003_piin100_wg020_wb020_boundnone,120,0.90,0.95,0.03,1.00,0.20,0.20,none
d1n300_m120_a095_r090_piw003_piin100_wg020_wb020_boundnone,120,0.95,0.90,0.03,1.00,0.20,0.20,none
d1n300_m120_a095_r095_piw003_piin100_wg020_wb020_boundnone,120,0.95,0.95,0.03,1.00,0.20,0.20,none
