"spec_id","family","base_case","D","n_vector","n_tilde","m","alpha","rho","pi_w","pi_in","win_scale_global","win_scale_bias","input_bound","launch_seed","rationale","selection_rank","selection_reason","selection_score","max_saturation_fraction","min_relative_effective_rank_entropy","max_condition_cov","max_abs_corr","shortlist_source","multiseed_seed_policy","screening_only"
"d1n300_refine_m100_a0p92_r0p97_w0p20_boundnone","positive_control_d1n300","d1n300_refine",1,"300","",100,0.92,0.97,0.03,1,0.2,0.2,"none",20260512,"Positive-control D1 n300 neighborhood around the promoted m100 alpha0.92 rho0.97 run.",1,"current_reference_control",0.286245674740484,0.283624383086568,0.116445718442793,1410.67941517819,0.84713427237732,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n300_refine_m100_a0p94_r0p91_w0p15_boundnone","positive_control_d1n300","d1n300_refine",1,"300","",100,0.94,0.91,0.03,1,0.15,0.15,"none",20260512,"Positive-control D1 n300 neighborhood around the promoted m100 alpha0.92 rho0.97 run.",2,"top_positive_control_d1n300",0.192214532871972,0.203767640389489,0.114628141915947,1625.49681192102,0.853979203366364,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n300_refine_m100_a0p94_r0p93_w0p15_boundnone","positive_control_d1n300","d1n300_refine",1,"300","",100,0.94,0.93,0.03,1,0.15,0.15,"none",20260512,"Positive-control D1 n300 neighborhood around the promoted m100 alpha0.92 rho0.97 run.",3,"top_positive_control_d1n300",0.192474048442907,0.204654928638122,0.114886542459211,1621.76947570778,0.853340504829516,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n300_refine_m100_a0p94_r0p95_w0p15_boundnone","positive_control_d1n300","d1n300_refine",1,"300","",100,0.94,0.95,0.03,1,0.15,0.15,"none",20260512,"Positive-control D1 n300 neighborhood around the promoted m100 alpha0.92 rho0.97 run.",4,"top_positive_control_d1n300",0.194117647058824,0.205502734427104,0.115152146891675,1617.87575360412,0.85268047813408,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n300_refine_m100_a0p94_r0p97_w0p15_boundnone","positive_control_d1n300","d1n300_refine",1,"300","",100,0.94,0.97,0.03,1,0.15,0.15,"none",20260512,"Positive-control D1 n300 neighborhood around the promoted m100 alpha0.92 rho0.97 run.",5,"top_positive_control_d1n300",0.194636678200692,0.206369481125784,0.115425043474125,1613.8181424238,0.851999149366074,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n300_refine_m100_a0p92_r0p97_w0p15_boundnone","positive_control_d1n300","d1n300_refine",1,"300","",100,0.92,0.97,0.03,1,0.15,0.15,"none",20260512,"Positive-control D1 n300 neighborhood around the promoted m100 alpha0.92 rho0.97 run.",6,"top_positive_control_d1n300",0.19939446366782,0.191716953448046,0.112128391878483,1683.43396979174,0.854820265907004,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n300_refine_m120_a0p90_r0p91_w0p15_boundnone","positive_control_d1n300","d1n300_refine",1,"300","",120,0.9,0.91,0.03,1,0.15,0.15,"none",20260512,"Positive-control D1 n300 neighborhood around the promoted m100 alpha0.92 rho0.97 run.",7,"top_positive_control_d1n300",0.199480968858131,0.231272509003601,0.116503790659619,1516.9537044339,0.83877804970896,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n300_refine_m120_a0p90_r0p93_w0p15_boundnone","positive_control_d1n300","d1n300_refine",1,"300","",120,0.9,0.93,0.03,1,0.15,0.15,"none",20260512,"Positive-control D1 n300 neighborhood around the promoted m100 alpha0.92 rho0.97 run.",8,"top_positive_control_d1n300",0.199826989619377,0.231925570228091,0.116759784759539,1513.14983998673,0.838528600491832,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n300_refine_m120_a0p90_r0p95_w0p15_boundnone","positive_control_d1n300","d1n300_refine",1,"300","",120,0.9,0.95,0.03,1,0.15,0.15,"none",20260512,"Positive-control D1 n300 neighborhood around the promoted m100 alpha0.92 rho0.97 run.",9,"top_positive_control_d1n300",0.200692041522491,0.232600506869414,0.117020814937409,1509.34451871525,0.838266479038041,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n300_refine_m120_a0p90_r0p97_w0p15_boundnone","positive_control_d1n300","d1n300_refine",1,"300","",120,0.9,0.97,0.03,1,0.15,0.15,"none",20260512,"Positive-control D1 n300 neighborhood around the promoted m100 alpha0.92 rho0.97 run.",10,"top_positive_control_d1n300",0.201557093425606,0.233309323729492,0.11728715908074,1505.54208525339,0.837991999351338,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n300_refine_m100_a0p92_r0p95_w0p15_boundnone","positive_control_d1n300","d1n300_refine",1,"300","",100,0.92,0.95,0.03,1,0.15,0.15,"none",20260512,"Positive-control D1 n300 neighborhood around the promoted m100 alpha0.92 rho0.97 run.",11,"top_positive_control_d1n300",0.201989619377163,0.191043884220355,0.111873236713648,1687.42697086137,0.855487083359292,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n400_ladder_m120_a0p92_r0p90_w0p10_boundnone","shallow_capacity_ladder","d1n400_ladder",1,"400","",120,0.92,0.9,0.03,1,0.1,0.1,"none",20260512,"D1 capacity ladder with reduced input scale to test whether wider shallow reservoirs stay healthy.",12,"top_shallow_capacity_by_base_case",0.319896193771626,0.113896358543417,0.094513876062401,2408.33224787312,0.8725940730222,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n400_ladder_m120_a0p92_r0p93_w0p10_boundnone","shallow_capacity_ladder","d1n400_ladder",1,"400","",120,0.92,0.93,0.03,1,0.1,0.1,"none",20260512,"D1 capacity ladder with reduced input scale to test whether wider shallow reservoirs stay healthy.",13,"top_shallow_capacity_by_base_case",0.32257785467128,0.115118847539016,0.0948453923769778,2392.11975745117,0.873434801974801,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n400_ladder_m120_a0p92_r0p95_w0p10_boundnone","shallow_capacity_ladder","d1n400_ladder",1,"400","",120,0.92,0.95,0.03,1,0.1,0.1,"none",20260512,"D1 capacity ladder with reduced input scale to test whether wider shallow reservoirs stay healthy.",14,"top_shallow_capacity_by_base_case",0.324221453287197,0.115956382553021,0.0950779168699655,2381.22718218565,0.873924121420718,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n500_ladder_m100_a0p92_r0p97_w0p10_boundnone","shallow_capacity_ladder","d1n500_ladder",1,"500","",100,0.92,0.97,0.03,1,0.1,0.1,"none",20260512,"D1 capacity ladder with reduced input scale to test whether wider shallow reservoirs stay healthy.",15,"top_shallow_capacity_by_base_case",0.409429065743945,0.10013893557423,0.0807861740740348,3572.63224858028,0.886432381350452,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n500_ladder_m100_a0p92_r0p95_w0p10_boundnone","shallow_capacity_ladder","d1n500_ladder",1,"500","",100,0.92,0.95,0.03,1,0.1,0.1,"none",20260512,"D1 capacity ladder with reduced input scale to test whether wider shallow reservoirs stay healthy.",16,"top_shallow_capacity_by_base_case",0.412456747404844,0.0992918767507003,0.0804431306470878,3601.40814682905,0.887282006863926,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n500_ladder_m100_a0p92_r0p93_w0p10_boundnone","shallow_capacity_ladder","d1n500_ladder",1,"500","",100,0.92,0.93,0.03,1,0.1,0.1,"none",20260512,"D1 capacity ladder with reduced input scale to test whether wider shallow reservoirs stay healthy.",17,"top_shallow_capacity_by_base_case",0.41461937716263,0.0984376150460184,0.0801091586310973,3629.87061955123,0.888083699847518,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n700_ladder_m120_a0p92_r0p97_w0p10_boundnone","shallow_capacity_ladder","d1n700_ladder",1,"700","",120,0.92,0.97,0.03,1,0.1,0.1,"none",20260512,"D1 capacity ladder with reduced input scale to test whether wider shallow reservoirs stay healthy.",18,"top_shallow_capacity_by_base_case",0.55121107266436,0.123600182930315,0.0616599716498807,6111.34976823717,0.887877489328064,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n700_ladder_m120_a0p92_r0p95_w0p10_boundnone","shallow_capacity_ladder","d1n700_ladder",1,"700","",120,0.92,0.95,0.03,1,0.1,0.1,"none",20260512,"D1 capacity ladder with reduced input scale to test whether wider shallow reservoirs stay healthy.",19,"top_shallow_capacity_by_base_case",0.553287197231834,0.122589950265821,0.0614827236121649,6139.15062106696,0.888175733171094,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n700_ladder_m120_a0p92_r0p93_w0p10_boundnone","shallow_capacity_ladder","d1n700_ladder",1,"700","",120,0.92,0.93,0.03,1,0.1,0.1,"none",20260512,"D1 capacity ladder with reduced input scale to test whether wider shallow reservoirs stay healthy.",20,"top_shallow_capacity_by_base_case",0.555536332179931,0.121646258503401,0.0613126895924697,6165.77150118793,0.888455627609884,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n1000_ladder_m120_a0p92_r0p97_w0p15_boundnone","shallow_capacity_ladder","d1n1000_ladder",1,"1000","",120,0.92,0.97,0.03,1,0.15,0.15,"none",20260512,"D1 capacity ladder with reduced input scale to test whether wider shallow reservoirs stay healthy.",21,"top_shallow_capacity_by_base_case",0.769809688581315,0.239618007202881,0.0512715035210697,7398.11899558606,0.888880176688848,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n1000_ladder_m120_a0p92_r0p95_w0p15_boundnone","shallow_capacity_ladder","d1n1000_ladder",1,"1000","",120,0.92,0.95,0.03,1,0.15,0.15,"none",20260512,"D1 capacity ladder with reduced input scale to test whether wider shallow reservoirs stay healthy.",22,"top_shallow_capacity_by_base_case",0.770847750865052,0.238828651460584,0.0511141565591927,7428.81668411372,0.888843385485074,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d1n1000_ladder_m120_a0p92_r0p93_w0p15_boundnone","shallow_capacity_ladder","d1n1000_ladder",1,"1000","",120,0.92,0.93,0.03,1,0.15,0.15,"none",20260512,"D1 capacity ladder with reduced input scale to test whether wider shallow reservoirs stay healthy.",23,"top_shallow_capacity_by_base_case",0.770934256055363,0.238068747499,0.0509609345447046,7458.70153771428,0.888790997645613,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d2n400x300_ladder_m120_a0p92_r0p93_w0p050_boundnone","two_layer_ladder","d2n400x300_ladder",2,"400;300","400",120,0.92,0.93,0.03,1,0.05,0.05,"none",20260512,"D2 no-reduction ladder, emphasizing the D2 region that produced the closest capacity-1000 near-misses.",24,"top_two_layer_by_base_case",0.687673010380623,0.280316355113474,0.0718588661572108,8776.3314531942,0.881674333764013,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d2n400x300_ladder_m120_a0p92_r0p95_w0p050_boundnone","two_layer_ladder","d2n400x300_ladder",2,"400;300","400",120,0.92,0.95,0.03,1,0.05,0.05,"none",20260512,"D2 no-reduction ladder, emphasizing the D2 region that produced the closest capacity-1000 near-misses.",25,"top_two_layer_by_base_case",0.687846020761246,0.280732635911507,0.0721627391666267,8701.46510692808,0.88205909876077,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d2n250x250_ladder_m120_a0p92_r0p90_w0p025_boundnone","two_layer_ladder","d2n250x250_ladder",2,"250;250","250",120,0.92,0.9,0.03,1,0.025,0.025,"none",20260512,"D2 no-reduction ladder, emphasizing the D2 region that produced the closest capacity-1000 near-misses.",26,"top_two_layer_by_base_case",0.750865051903114,0.284057462985194,0.0746903034960962,12939.1106056906,0.904013063023092,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d2n250x250_ladder_m120_a0p80_r0p90_w0p050_boundnone","two_layer_ladder","d2n250x250_ladder",2,"250;250","250",120,0.8,0.9,0.03,1,0.05,0.05,"none",20260512,"D2 no-reduction ladder, emphasizing the D2 region that produced the closest capacity-1000 near-misses.",27,"top_two_layer_by_base_case",0.752768166089965,0.293456262505002,0.0691231479501377,8492.51748584992,0.893201891875765,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d2n350x350_ladder_m100_a0p92_r0p90_w0p025_boundnone","two_layer_ladder","d2n350x350_ladder",2,"350;350","350",100,0.92,0.9,0.03,1,0.025,0.025,"none",20260512,"D2 no-reduction ladder, emphasizing the D2 region that produced the closest capacity-1000 near-misses.",28,"top_two_layer_by_base_case",0.87560553633218,0.297987880866632,0.059195675418325,26188.7462971172,0.906041207046752,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d2n600x400_ladder_m100_a0p92_r0p90_w0p050_boundnone","two_layer_ladder","d2n600x400_ladder",2,"600;400","600",100,0.92,0.9,0.03,1,0.05,0.05,"none",20260512,"D2 no-reduction ladder, emphasizing the D2 region that produced the closest capacity-1000 near-misses.",29,"top_two_layer_by_base_case",0.891955017301038,0.267755102040816,0.0523328993663831,22863.6856529472,0.92240627758792,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
"d2n600x400_ladder_m100_a0p92_r0p95_w0p050_boundnone","two_layer_ladder","d2n600x400_ladder",2,"600;400","600",100,0.92,0.95,0.03,1,0.05,0.05,"none",20260512,"D2 no-reduction ladder, emphasizing the D2 region that produced the closest capacity-1000 near-misses.",30,"top_two_layer_by_base_case",0.892560553633218,0.268778871548619,0.0530388106736927,22076.8875656148,0.922548177827498,"application/outputs/generated/reservoir_screening/reservoir_overnight_ladder_full_20260525/pilot_triage_candidates.csv","20260512:20260518",TRUE
