"date","q05","q15","q35","q50","q65","q80","q95","phase","cutoff_date"
2022-10-27,0.284973390335727,0.288019122876478,0.290832247186169,0.290852789018188,0.292636400396452,0.294141865772834,0.306765241745865,"Fitted history",2022-12-25
2022-10-28,0.283041707879276,0.287870936341883,0.291422132844866,0.291910082690809,0.292895451327655,0.294374624756537,0.308265560198709,"Fitted history",2022-12-25
2022-10-29,0.281713064941048,0.288001229558426,0.291323049865898,0.292025109642365,0.293087977481261,0.294803645138955,0.309352963504271,"Fitted history",2022-12-25
2022-10-30,0.282210186334226,0.289134383706279,0.290567367084425,0.290874745065287,0.292693658871425,0.295211669654746,0.311411835765321,"Fitted history",2022-12-25
2022-10-31,0.283948727223991,0.291647949048651,0.292113381302693,0.292465367045165,0.294531109343202,0.297446375835614,0.315326332708918,"Fitted history",2022-12-25
2022-11-01,0.287424299853567,0.296634125972243,0.297906865387795,0.30625931495411,0.306498431378625,0.336755810482357,0.459964079646306,"Fitted history",2022-12-25
2022-11-02,0.397606642079488,0.448254611453513,0.508683995081505,0.585536891375463,0.655962530601122,0.837073559060036,1.45830535393917,"Fitted history",2022-12-25
2022-11-03,0.249844591619415,0.267053809552884,0.2851270670512,0.304273491145739,0.329994094755814,0.368158024641066,0.656397112116589,"Fitted history",2022-12-25
2022-11-04,0.278488469579093,0.295813850800733,0.313470103393705,0.323764029954483,0.336361828975559,0.343341738825125,0.438446913862129,"Fitted history",2022-12-25
2022-11-05,0.295329193422948,0.317571133291884,0.325270619694203,0.334595322402247,0.341077881242412,0.35820558040747,0.414471806148854,"Fitted history",2022-12-25
2022-11-06,0.302620419331719,0.325897050692398,0.336225497254997,0.35365823969772,0.363467466563873,0.392334051119908,0.532640265765324,"Fitted history",2022-12-25
2022-11-07,0.307842595814601,0.34319745925713,0.38044444424823,0.432386864455265,0.470290753869458,0.587354569139142,1.01788487241893,"Fitted history",2022-12-25
2022-11-08,0.395641542443886,0.564283230161876,0.821909101678488,1.0239580371061,1.3380027638515,1.71125904265087,2.6656962774906,"Fitted history",2022-12-25
2022-11-09,0.9180395964965,1.10458427282377,1.33028879937306,1.48775918686924,1.69242640359053,1.93356016475722,2.70043267920547,"Fitted history",2022-12-25
2022-11-10,0.371266869309412,0.431702293236402,0.493733686174202,0.504116334715703,0.554676702453673,0.606510445687768,0.799793999733778,"Fitted history",2022-12-25
2022-11-11,0.304188560071032,0.334706983307287,0.374845909458908,0.393841943757615,0.399476132535032,0.426352142136582,0.571429818047106,"Fitted history",2022-12-25
