"check","passed","detail"
"single_forecast_origin",TRUE,"2022-12-25"
"history_ends_at_cutoff",TRUE,"2022-12-25"
"history_observation_count",TRUE,"60 observations"
"historical_quantile_grid_complete",TRUE,"60 dates x 7 quantiles"
"forecast_quantile_grid_complete",TRUE,"28 dates x 7 quantiles"
"quantile_levels_match",TRUE,"0.05, 0.15, 0.35, 0.50, 0.65, 0.80, 0.95"
"quantiles_are_monotone",TRUE,"historical and forecast monotone paths"
"reference_history_matches_fit_input",TRUE,"maximum absolute difference 4.88e-15"
"glofas_retrospective_complete",TRUE,"60 retrospective values"
"ensemble_member_count",TRUE,"51 members"
"ensemble_grid_complete",TRUE,"1428 member-target rows"
"ensemble_median_matches_raw_p50",TRUE,"maximum absolute difference 4.88e-15"
"heldout_reference_complete",TRUE,"28 held-out observations"
