"fit_id","model_id","model_family","quantile_level","inference_method","coefficient_prior","required","status","message","runtime_seconds","source_run_id"
"raw_glofas_transition_full7_p05","raw_glofas_transition_full7_p05","raw_glofas",0.05,"none","none",TRUE,"completed","",0.263,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_glofas_discrepancy",0.05,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",55365.493,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
"raw_glofas_transition_full7_p15","raw_glofas_transition_full7_p15","raw_glofas",0.15,"none","none",TRUE,"completed","",0.26,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p15"
"qdesn_transition_full7_fr09_persistence_innovation_p15","qdesn_transition_full7_fr09_persistence_innovation_p15","qdesn_glofas_discrepancy",0.15,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",27976.108,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p15"
"raw_glofas_transition_full7_p35","raw_glofas_transition_full7_p35","raw_glofas",0.35,"none","none",TRUE,"completed","",0.252,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p35"
"qdesn_transition_full7_fr09_persistence_innovation_p35","qdesn_transition_full7_fr09_persistence_innovation_p35","qdesn_glofas_discrepancy",0.35,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",13943.433,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p35"
"raw_glofas_transition_full7_p50","raw_glofas_transition_full7_p50","raw_glofas",0.5,"none","none",TRUE,"completed","",0.271,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p50"
"qdesn_transition_full7_fr09_persistence_innovation_p50","qdesn_transition_full7_fr09_persistence_innovation_p50","qdesn_glofas_discrepancy",0.5,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",16336.078,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p50"
"raw_glofas_transition_full7_p65","raw_glofas_transition_full7_p65","raw_glofas",0.65,"none","none",TRUE,"completed","",0.267,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p65"
"qdesn_transition_full7_fr09_persistence_innovation_p65","qdesn_transition_full7_fr09_persistence_innovation_p65","qdesn_glofas_discrepancy",0.65,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",16116.547,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p65"
"raw_glofas_transition_full7_p80","raw_glofas_transition_full7_p80","raw_glofas",0.8,"none","none",TRUE,"completed","",0.26,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p80"
"qdesn_transition_full7_fr09_persistence_innovation_p80","qdesn_transition_full7_fr09_persistence_innovation_p80","qdesn_glofas_discrepancy",0.8,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",13794.656,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p80"
"raw_glofas_transition_full7_p95","raw_glofas_transition_full7_p95","raw_glofas",0.95,"none","none",TRUE,"completed","",0.252,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p95"
"qdesn_transition_full7_fr09_persistence_innovation_p95","qdesn_transition_full7_fr09_persistence_innovation_p95","qdesn_glofas_discrepancy",0.95,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",31541.22,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p95"
