"fit_id","model_id","model_family","quantile_level","inference_method","coefficient_prior","required","status","message","runtime_seconds","source_run_id"
"raw_glofas_reservoir_only_m360_full7_p05","raw_glofas_reservoir_only_m360_full7","raw_glofas",0.05,"none","none",TRUE,"completed","",0.36,"glofas_reservoir_only_m360_full7_20260607_p05"
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p05","qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",0.05,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",23070.999,"glofas_reservoir_only_m360_full7_20260607_p05"
"raw_glofas_reservoir_only_m360_full7_p15","raw_glofas_reservoir_only_m360_full7","raw_glofas",0.15,"none","none",TRUE,"completed","",0.329,"glofas_reservoir_only_m360_full7_20260607_p15"
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p15","qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",0.15,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",22403.336,"glofas_reservoir_only_m360_full7_20260607_p15"
"raw_glofas_reservoir_only_m360_full7_p35","raw_glofas_reservoir_only_m360_full7","raw_glofas",0.35,"none","none",TRUE,"completed","",0.323,"glofas_reservoir_only_m360_full7_20260607_p35"
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p35","qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",0.35,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",21698.384,"glofas_reservoir_only_m360_full7_20260607_p35"
"raw_glofas_reservoir_only_m360_full7_p50","raw_glofas_reservoir_only_m360_full7","raw_glofas",0.5,"none","none",TRUE,"completed","",0.348,"glofas_reservoir_only_m360_full7_20260607_p50"
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p50","qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",0.5,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",20612.568,"glofas_reservoir_only_m360_full7_20260607_p50"
"raw_glofas_reservoir_only_m360_full7_p65","raw_glofas_reservoir_only_m360_full7","raw_glofas",0.65,"none","none",TRUE,"completed","",0.363,"glofas_reservoir_only_m360_full7_20260607_p65"
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p65","qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",0.65,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",12940.215,"glofas_reservoir_only_m360_full7_20260607_p65"
"raw_glofas_reservoir_only_m360_full7_p80","raw_glofas_reservoir_only_m360_full7","raw_glofas",0.8,"none","none",TRUE,"completed","",0.327,"glofas_reservoir_only_m360_full7_20260607_p80"
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p80","qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",0.8,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",15765.324,"glofas_reservoir_only_m360_full7_20260607_p80"
"raw_glofas_reservoir_only_m360_full7_p95","raw_glofas_reservoir_only_m360_full7","raw_glofas",0.95,"none","none",TRUE,"completed","",0.322,"glofas_reservoir_only_m360_full7_20260607_p95"
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p95","qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",0.95,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",21717.906,"glofas_reservoir_only_m360_full7_20260607_p95"
