"model_id","model_family","n_quantile_levels","quantile_levels","horizon","n","check_loss_mean","mae_to_observation","rmse_to_observation","bias_to_observation"
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",1,7,0.0158776757787946,0.0327400986548317,0.0327713077279396,-0.0327400986548317
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",1,7,0.144283957784477,0.292750059272851,0.292750059272851,-0.292750059272851
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",2,7,0.462506823222257,1.50090478245444,1.65458267954536,-1.35739522052721
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",2,7,1.35942075145665,2.81125285100148,2.81399694996202,-2.81125285100148
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",3,7,0.479948710576874,1.30081002998668,1.40937736393031,-1.30081002998668
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",3,7,0.47032209038395,1.08256919849528,1.10253752459107,-1.08256919849528
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",4,7,0.229665601426428,0.75817722008943,0.826040533534002,-0.660840189838412
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",4,7,0.211020812387435,0.554973073963921,0.591696454901468,-0.554973073963921
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",5,7,0.220492842137163,0.926684475674612,1.08109258685005,-0.74411097145461
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",5,7,0.620531941831122,1.39406622108227,1.41098826609664,-1.39406622108227
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",6,7,1.23521048122548,3.06696443486178,3.19875868748153,-3.06696443486178
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",6,7,1.69464432422073,3.58202169213801,3.58969806424197,-3.58202169213801
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",7,7,0.496479809411557,1.63677013157918,1.90317502002819,-1.60966895605092
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",7,7,0.868613819096618,1.92030369880949,1.9372233117704,-1.92030369880949
