"output_role","storage_class","promoted_path","source_path","run_id","diagnostic_run_id","config_path","article_git_sha","engine_repo_sha","engine_repo_sha_source","engine_repo_sha_field","source_sha256","promoted_sha256","file_size_bytes","promoted_at"
"score_summary_tex","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_score_summary__glofas_reservoir_only_m360_full7_20260607.tex","/data/jaguir26/local/src/Article-Q-DESN/application/outputs/generated/glofas_reservoir_only_m360_full7_20260607_synthesis_final/glofas_application_score_summary.tex","glofas_reservoir_only_m360_full7_20260607_synthesis_final","glofas_reservoir_only_m360_full7_20260607_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_reservoir_only_m360_full7_20260607/synthesis_config.yaml","77b28f35fae4c2f10059bf85ef261a988c2e15af","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","8649e81bc6ff85454785a3c809e6259949428c6a0ab87b920796a416f2ad50b7","8649e81bc6ff85454785a3c809e6259949428c6a0ab87b920796a416f2ad50b7",347,"2026-06-08 03:14:19 EDT"
"score_summary_csv","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_score_summary__glofas_reservoir_only_m360_full7_20260607.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_reservoir_only_m360_full7_20260607_synthesis_final/tables/score_summary.csv","glofas_reservoir_only_m360_full7_20260607_synthesis_final","glofas_reservoir_only_m360_full7_20260607_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_reservoir_only_m360_full7_20260607/synthesis_config.yaml","77b28f35fae4c2f10059bf85ef261a988c2e15af","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","6e520a06278a14deda41045a0de16fa1c092441a383bdca53ab96adcc5267797","6e520a06278a14deda41045a0de16fa1c092441a383bdca53ab96adcc5267797",478,"2026-06-08 03:14:19 EDT"
"post_fit_metrics_by_model","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_post_fit_metrics_by_model__glofas_reservoir_only_m360_full7_20260607.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_reservoir_only_m360_full7_20260607_synthesis_final/tables/post_fit_metrics_by_model.csv","glofas_reservoir_only_m360_full7_20260607_synthesis_final","glofas_reservoir_only_m360_full7_20260607_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_reservoir_only_m360_full7_20260607/synthesis_config.yaml","77b28f35fae4c2f10059bf85ef261a988c2e15af","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","4c4cae39486b4d59823ee37032dbbe99a6f4c4704e2a20bbb55592c2c3be08ce","4c4cae39486b4d59823ee37032dbbe99a6f4c4704e2a20bbb55592c2c3be08ce",670,"2026-06-08 03:14:19 EDT"
"post_fit_metrics_by_horizon","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_post_fit_metrics_by_horizon__glofas_reservoir_only_m360_full7_20260607.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_reservoir_only_m360_full7_20260607_synthesis_final/tables/post_fit_metrics_by_horizon.csv","glofas_reservoir_only_m360_full7_20260607_synthesis_final","glofas_reservoir_only_m360_full7_20260607_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_reservoir_only_m360_full7_20260607/synthesis_config.yaml","77b28f35fae4c2f10059bf85ef261a988c2e15af","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","7a8545ee5847f7ce245ff2051a866543ff367a152e4b081cfa86c581fbfe7d1a","7a8545ee5847f7ce245ff2051a866543ff367a152e4b081cfa86c581fbfe7d1a",10310,"2026-06-08 03:14:19 EDT"
"post_fit_forecast_window_band_check","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_forecast_window_band_check__glofas_reservoir_only_m360_full7_20260607.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_reservoir_only_m360_full7_20260607_synthesis_final/tables/prediction_quantiles_synthesized.csv","glofas_reservoir_only_m360_full7_20260607_synthesis_final","glofas_reservoir_only_m360_full7_20260607_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_reservoir_only_m360_full7_20260607/synthesis_config.yaml","77b28f35fae4c2f10059bf85ef261a988c2e15af","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","265e6a9258d36df5bb36108bd2139dcb1c7694c188768872b7ed1243a5577a22","265e6a9258d36df5bb36108bd2139dcb1c7694c188768872b7ed1243a5577a22",200888,"2026-06-08 03:14:19 EDT"
"post_fit_parameter_summary","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_post_fit_parameter_summary__glofas_reservoir_only_m360_full7_20260607.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_reservoir_only_m360_full7_20260607_diagnostic_figures/tables/vb_convergence_runtime_summary.csv","glofas_reservoir_only_m360_full7_20260607_synthesis_final","glofas_reservoir_only_m360_full7_20260607_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_reservoir_only_m360_full7_20260607/synthesis_config.yaml","77b28f35fae4c2f10059bf85ef261a988c2e15af","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","189ce7598ccee4b5734e688ae38b42fefc4b143383a695fb44e3a14d25ad05aa","189ce7598ccee4b5734e688ae38b42fefc4b143383a695fb44e3a14d25ad05aa",3014,"2026-06-08 03:14:19 EDT"
"post_fit_trace_summary","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_post_fit_trace_summary__glofas_reservoir_only_m360_full7_20260607.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_reservoir_only_m360_full7_20260607_diagnostic_figures/tables/vb_convergence_runtime_summary.csv","glofas_reservoir_only_m360_full7_20260607_synthesis_final","glofas_reservoir_only_m360_full7_20260607_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_reservoir_only_m360_full7_20260607/synthesis_config.yaml","77b28f35fae4c2f10059bf85ef261a988c2e15af","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","189ce7598ccee4b5734e688ae38b42fefc4b143383a695fb44e3a14d25ad05aa","189ce7598ccee4b5734e688ae38b42fefc4b143383a695fb44e3a14d25ad05aa",3014,"2026-06-08 03:14:19 EDT"
"launch_readiness_report","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_launch_readiness_report__glofas_reservoir_only_m360_full7_20260607.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_reservoir_only_m360_full7_20260607_synthesis_final/tables/launch_readiness_report.csv","glofas_reservoir_only_m360_full7_20260607_synthesis_final","glofas_reservoir_only_m360_full7_20260607_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_reservoir_only_m360_full7_20260607/synthesis_config.yaml","77b28f35fae4c2f10059bf85ef261a988c2e15af","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","1949a00e9550dbea4f69d5e8764f8fef7fab132d7e9498fba29cc3c26fbb284d","1949a00e9550dbea4f69d5e8764f8fef7fab132d7e9498fba29cc3c26fbb284d",1336,"2026-06-08 03:14:19 EDT"
"launch_readiness_summary","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_launch_readiness_summary__glofas_reservoir_only_m360_full7_20260607.txt","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_reservoir_only_m360_full7_20260607_synthesis_final/tables/launch_readiness_summary.txt","glofas_reservoir_only_m360_full7_20260607_synthesis_final","glofas_reservoir_only_m360_full7_20260607_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_reservoir_only_m360_full7_20260607/synthesis_config.yaml","77b28f35fae4c2f10059bf85ef261a988c2e15af","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","98dd5a51dcd4b380511804ab88f13d248b3d6deb2f6e341ceea61c001edb393b","98dd5a51dcd4b380511804ab88f13d248b3d6deb2f6e341ceea61c001edb393b",449,"2026-06-08 03:14:19 EDT"
"quantile_synthesis_diagnostic_summary","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_quantile_synthesis_diagnostic_summary__glofas_reservoir_only_m360_full7_20260607.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_reservoir_only_m360_full7_20260607_synthesis_final/tables/quantile_synthesis_diagnostic_summary.csv","glofas_reservoir_only_m360_full7_20260607_synthesis_final","glofas_reservoir_only_m360_full7_20260607_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_reservoir_only_m360_full7_20260607/synthesis_config.yaml","77b28f35fae4c2f10059bf85ef261a988c2e15af","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","56cdab1d6debc3430bb65f73360f85463d431ecbc19708658a911c43dda16847","56cdab1d6debc3430bb65f73360f85463d431ecbc19708658a911c43dda16847",361,"2026-06-08 03:14:19 EDT"
