"output_role","storage_class","promoted_path","source_path","run_id","diagnostic_run_id","config_path","article_git_sha","engine_repo_sha","engine_repo_sha_source","engine_repo_sha_field","source_sha256","promoted_sha256","file_size_bytes","promoted_at"
"score_summary_tex","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_score_summary__glofas_stage_c_arch04_a035_scorebalanced_20260622.tex","/data/jaguir26/local/src/Article-Q-DESN/application/outputs/generated/glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final/glofas_application_score_summary.tex","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_c_full7_confirmations_20260622/arch04_a035/synthesis_config_scorebalanced.yaml","6bc1424885655638daceb3482dcd431bfd64dda4","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","f57ae32a605750fd755ed5972c79443401c5b28409a567a9820b9d34245039c0","f57ae32a605750fd755ed5972c79443401c5b28409a567a9820b9d34245039c0",407,"2026-06-22 21:42:40 EDT"
"score_summary_csv","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_score_summary__glofas_stage_c_arch04_a035_scorebalanced_20260622.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final/tables/score_summary.csv","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_c_full7_confirmations_20260622/arch04_a035/synthesis_config_scorebalanced.yaml","6bc1424885655638daceb3482dcd431bfd64dda4","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","e6ef0c411ea25a189a61efa7ada8b419e695f4da7a7a2d82dc8d34d0404195de","e6ef0c411ea25a189a61efa7ada8b419e695f4da7a7a2d82dc8d34d0404195de",539,"2026-06-22 21:42:40 EDT"
"post_fit_metrics_by_model","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_post_fit_metrics_by_model__glofas_stage_c_arch04_a035_scorebalanced_20260622.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final/tables/post_fit_metrics_by_model.csv","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_c_full7_confirmations_20260622/arch04_a035/synthesis_config_scorebalanced.yaml","6bc1424885655638daceb3482dcd431bfd64dda4","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","0de91c8c8f7dc1e25d75e2556ce91c0fe5a093d1619f116104b9b6dd264cec83","0de91c8c8f7dc1e25d75e2556ce91c0fe5a093d1619f116104b9b6dd264cec83",733,"2026-06-22 21:42:40 EDT"
"post_fit_metrics_by_horizon","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_post_fit_metrics_by_horizon__glofas_stage_c_arch04_a035_scorebalanced_20260622.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final/tables/post_fit_metrics_by_horizon.csv","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_c_full7_confirmations_20260622/arch04_a035/synthesis_config_scorebalanced.yaml","6bc1424885655638daceb3482dcd431bfd64dda4","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","42aa228be4409bd7166ea5bf07c59dc231135247afb65a5bae810c2359fa7bc8","42aa228be4409bd7166ea5bf07c59dc231135247afb65a5bae810c2359fa7bc8",11998,"2026-06-22 21:42:40 EDT"
"post_fit_forecast_window_band_check","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_forecast_window_band_check__glofas_stage_c_arch04_a035_scorebalanced_20260622.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final/tables/prediction_quantiles_synthesized.csv","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_c_full7_confirmations_20260622/arch04_a035/synthesis_config_scorebalanced.yaml","6bc1424885655638daceb3482dcd431bfd64dda4","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","3e2a4d2630ee9940e269c104b98faa363370e2067256fbd4f2ce650cb4b2d52e","3e2a4d2630ee9940e269c104b98faa363370e2067256fbd4f2ce650cb4b2d52e",255976,"2026-06-22 21:42:40 EDT"
"post_fit_forecast_window_band_check_uncalibrated","diagnostic_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_forecast_window_band_check_uncalibrated__glofas_stage_c_arch04_a035_scorebalanced_20260622.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final/tables/prediction_quantiles_synthesized_uncalibrated.csv","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_c_full7_confirmations_20260622/arch04_a035/synthesis_config_scorebalanced.yaml","6bc1424885655638daceb3482dcd431bfd64dda4","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","0cf777eadbfa8ae790a6f5c08cc5753fe7c472b015fa87f4bf1a52a9df171c4e","0cf777eadbfa8ae790a6f5c08cc5753fe7c472b015fa87f4bf1a52a9df171c4e",228917,"2026-06-22 21:42:40 EDT"
"spread_calibration_manifest","provenance_snapshot","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_spread_calibration_manifest__glofas_stage_c_arch04_a035_scorebalanced_20260622.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final/tables/spread_calibration_manifest.csv","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_c_full7_confirmations_20260622/arch04_a035/synthesis_config_scorebalanced.yaml","6bc1424885655638daceb3482dcd431bfd64dda4","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","76c8a7fc37d7f70aaa880fce2a04e2b21cfcf66b58c54af684202ab00d350cda","76c8a7fc37d7f70aaa880fce2a04e2b21cfcf66b58c54af684202ab00d350cda",232,"2026-06-22 21:42:40 EDT"
"post_fit_parameter_summary","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_post_fit_parameter_summary__glofas_stage_c_arch04_a035_scorebalanced_20260622.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_diagnostic_figures/tables/vb_convergence_runtime_summary.csv","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_c_full7_confirmations_20260622/arch04_a035/synthesis_config_scorebalanced.yaml","6bc1424885655638daceb3482dcd431bfd64dda4","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","ce58f49f79b7ee51f0206ab280078a431246f04da64c8909b643b9015205bf2b","ce58f49f79b7ee51f0206ab280078a431246f04da64c8909b643b9015205bf2b",3485,"2026-06-22 21:42:40 EDT"
"post_fit_trace_summary","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_post_fit_trace_summary__glofas_stage_c_arch04_a035_scorebalanced_20260622.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_diagnostic_figures/tables/vb_convergence_runtime_summary.csv","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_c_full7_confirmations_20260622/arch04_a035/synthesis_config_scorebalanced.yaml","6bc1424885655638daceb3482dcd431bfd64dda4","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","ce58f49f79b7ee51f0206ab280078a431246f04da64c8909b643b9015205bf2b","ce58f49f79b7ee51f0206ab280078a431246f04da64c8909b643b9015205bf2b",3485,"2026-06-22 21:42:40 EDT"
"launch_readiness_report","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_launch_readiness_report__glofas_stage_c_arch04_a035_scorebalanced_20260622.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final/tables/launch_readiness_report.csv","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final","glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_c_full7_confirmations_20260622/arch04_a035/synthesis_config_scorebalanced.yaml","6bc1424885655638daceb3482dcd431bfd64dda4","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","2040bb10e9fd21668f3548d4399e73b7a50742d96b8b37ebaa043d8531e5a5e1","2040bb10e9fd21668f3548d4399e73b7a50742d96b8b37ebaa043d8531e5a5e1",2180,"2026-06-22 21:42:40 EDT"
