"iteration","step","elapsed_seconds","fit_id","model_id","quantile_level","likelihood_family","coefficient_prior","source_run_id"
,"prior_initialization",0.0939999999999941,"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7",0.05,"al","rhs_ns","glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p05"
,"initial_row_moments",74.909,"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7",0.05,"al","rhs_ns","glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p05"
,"sigma_initialization",0.0409999999999968,"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7",0.05,"al","rhs_ns","glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p05"
,"initial_v_update",0.0279999999999916,"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7",0.05,"al","rhs_ns","glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p05"
1,"theta_update",13.709,"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7",0.05,"al","rhs_ns","glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p05"
1,"future_update",1.26500000000001,"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7",0.05,"al","rhs_ns","glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p05"
1,"row_moments",81.207,"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7",0.05,"al","rhs_ns","glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p05"
1,"v_update",0.0379999999999541,"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7",0.05,"al","rhs_ns","glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p05"
1,"sigma_update",0.0510000000000446,"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7",0.05,"al","rhs_ns","glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p05"
1,"prior_update",0.0659999999999741,"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7",0.05,"al","rhs_ns","glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p05"
1,"objective",0.0520000000000209,"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7",0.05,"al","rhs_ns","glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p05"
2,"theta_update",13.332,"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7",0.05,"al","rhs_ns","glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p05"
2,"future_update",1.149,"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7",0.05,"al","rhs_ns","glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p05"
