"iteration","step","elapsed_seconds","fit_id","model_id","quantile_level","likelihood_family","coefficient_prior","source_run_id"
,"prior_initialization",0.0870000000000033,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7",0.05,"al","rhs_ns","glofas_deep_identity_d4w100m300a050_full7_20260618_p05"
,"initial_row_moments",65.064,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7",0.05,"al","rhs_ns","glofas_deep_identity_d4w100m300a050_full7_20260618_p05"
,"sigma_initialization",0.032999999999987,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7",0.05,"al","rhs_ns","glofas_deep_identity_d4w100m300a050_full7_20260618_p05"
,"initial_v_update",0.0219999999999914,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7",0.05,"al","rhs_ns","glofas_deep_identity_d4w100m300a050_full7_20260618_p05"
1,"theta_update",12.085,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7",0.05,"al","rhs_ns","glofas_deep_identity_d4w100m300a050_full7_20260618_p05"
1,"future_update",1.08000000000001,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7",0.05,"al","rhs_ns","glofas_deep_identity_d4w100m300a050_full7_20260618_p05"
1,"row_moments",76.736,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7",0.05,"al","rhs_ns","glofas_deep_identity_d4w100m300a050_full7_20260618_p05"
1,"v_update",0.0310000000000059,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7",0.05,"al","rhs_ns","glofas_deep_identity_d4w100m300a050_full7_20260618_p05"
1,"sigma_update",0.0430000000000064,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7",0.05,"al","rhs_ns","glofas_deep_identity_d4w100m300a050_full7_20260618_p05"
1,"prior_update",0.0570000000000164,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7",0.05,"al","rhs_ns","glofas_deep_identity_d4w100m300a050_full7_20260618_p05"
1,"objective",0.0450000000000159,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7",0.05,"al","rhs_ns","glofas_deep_identity_d4w100m300a050_full7_20260618_p05"
2,"theta_update",12.396,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7",0.05,"al","rhs_ns","glofas_deep_identity_d4w100m300a050_full7_20260618_p05"
2,"future_update",1.185,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7",0.05,"al","rhs_ns","glofas_deep_identity_d4w100m300a050_full7_20260618_p05"
2,"row_moments",76.289,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7",0.05,"al","rhs_ns","glofas_deep_identity_d4w100m300a050_full7_20260618_p05"
2,"v_update",0.0050000000000523,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7",0.05,"al","rhs_ns","glofas_deep_identity_d4w100m300a050_full7_20260618_p05"
2,"sigma_update",0.0029999999999859,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7",0.05,"al","rhs_ns","glofas_deep_identity_d4w100m300a050_full7_20260618_p05"
