"iteration","step","elapsed_seconds","fit_id","model_id","quantile_level","likelihood_family","coefficient_prior","source_run_id"
,"prior_initialization",0.0820000000000078,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
,"initial_row_moments",87.024,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
,"sigma_initialization",0.0360000000000014,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
,"initial_v_update",0.0240000000000009,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
1,"theta_update",51.367,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
1,"future_update",5.40999999999997,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
1,"row_moments",113.77,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
1,"v_update",0.0349999999999682,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
1,"sigma_update",0.0430000000000064,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
1,"prior_update",0.0529999999999973,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
1,"objective",0.0369999999999777,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
2,"theta_update",50.622,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
2,"future_update",5.28399999999999,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
2,"row_moments",111.41,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
