"mcmc_case_id","case_id","scenario_id","source_model_id","model_id","display_label","likelihood_family","fit_structure","window","rows","raw_crossing_pairs","contract_crossing_pairs","raw_crossing_opportunities","raw_crossing_rate","mean_abs_monotone_adjustment","max_abs_monotone_adjustment","coherence_status"
"asymmetric_laplace_tail__joint_qdesn_rhs","asymmetric_laplace_tail__joint_qdesn_rhs","asymmetric_laplace_tail","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","fit",500,0,0,3000,0,8.35859159664665e-17,1.77635683940025e-15,"review"
"asymmetric_laplace_tail__joint_qdesn_rhs","asymmetric_laplace_tail__joint_qdesn_rhs","asymmetric_laplace_tail","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","forecast",990,606,0,5940,0.102020202020202,0.0521122659180534,0.676578625858186,"review"
"asymmetric_laplace_tail__qdesn_rhs_independent","asymmetric_laplace_tail__qdesn_rhs_independent","asymmetric_laplace_tail","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","fit",500,28,0,3000,0.00933333333333333,0.000706026783481373,0.171396562176161,"review"
"asymmetric_laplace_tail__qdesn_rhs_independent","asymmetric_laplace_tail__qdesn_rhs_independent","asymmetric_laplace_tail","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","forecast",990,1296,0,5940,0.218181818181818,0.0473566792874977,0.698151118001653,"review"
"asymmetric_laplace_tail__joint_exqdesn_rhs","asymmetric_laplace_tail__joint_exqdesn_rhs","asymmetric_laplace_tail","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","fit",500,0,0,3000,0,8.63575084457986e-17,8.88178419700125e-16,"pass"
"asymmetric_laplace_tail__joint_exqdesn_rhs","asymmetric_laplace_tail__joint_exqdesn_rhs","asymmetric_laplace_tail","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","forecast",990,0,0,5940,0,6.80211859261232e-17,8.88178419700125e-16,"pass"
"asymmetric_laplace_tail__exqdesn_rhs_independent","asymmetric_laplace_tail__exqdesn_rhs_independent","asymmetric_laplace_tail","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","fit",500,0,0,3000,0,8.44503038927818e-17,8.88178419700125e-16,"review"
"asymmetric_laplace_tail__exqdesn_rhs_independent","asymmetric_laplace_tail__exqdesn_rhs_independent","asymmetric_laplace_tail","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","forecast",990,269,0,5940,0.0452861952861953,0.00428705423957522,0.188674497844572,"review"
"gaussian_mixture_bridge__joint_qdesn_rhs","gaussian_mixture_bridge__joint_qdesn_rhs","gaussian_mixture_bridge","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","fit",500,0,0,3000,0,6.44900799429138e-17,8.88178419700125e-16,"pass"
"gaussian_mixture_bridge__joint_qdesn_rhs","gaussian_mixture_bridge__joint_qdesn_rhs","gaussian_mixture_bridge","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","forecast",990,0,0,5940,0,1.47420956314584e-16,1.55431223447522e-15,"pass"
"gaussian_mixture_bridge__qdesn_rhs_independent","gaussian_mixture_bridge__qdesn_rhs_independent","gaussian_mixture_bridge","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","fit",500,5,0,3000,0.00166666666666667,4.0338817078651e-05,0.0301361227861529,"review"
"gaussian_mixture_bridge__qdesn_rhs_independent","gaussian_mixture_bridge__qdesn_rhs_independent","gaussian_mixture_bridge","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","forecast",990,419,0,5940,0.0705387205387205,0.00733117790992249,0.180727164628629,"review"
"gaussian_mixture_bridge__joint_exqdesn_rhs","gaussian_mixture_bridge__joint_exqdesn_rhs","gaussian_mixture_bridge","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","fit",500,0,0,3000,0,6.3497818114655e-17,8.88178419700125e-16,"pass"
"gaussian_mixture_bridge__joint_exqdesn_rhs","gaussian_mixture_bridge__joint_exqdesn_rhs","gaussian_mixture_bridge","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","forecast",990,0,0,5940,0,8.16030944917148e-17,8.88178419700125e-16,"pass"
"gaussian_mixture_bridge__exqdesn_rhs_independent","gaussian_mixture_bridge__exqdesn_rhs_independent","gaussian_mixture_bridge","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","fit",500,0,0,3000,0,6.44078044866246e-17,8.88178419700125e-16,"review"
"gaussian_mixture_bridge__exqdesn_rhs_independent","gaussian_mixture_bridge__exqdesn_rhs_independent","gaussian_mixture_bridge","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","forecast",990,0,0,5940,0,6.38022783555441e-17,8.88178419700125e-16,"review"
"laplace_bridge__joint_qdesn_rhs","laplace_bridge__joint_qdesn_rhs","laplace_bridge","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","fit",500,5,0,3000,0.00166666666666667,8.84521787680362e-05,0.0623138726569186,"review"
"laplace_bridge__joint_qdesn_rhs","laplace_bridge__joint_qdesn_rhs","laplace_bridge","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","forecast",990,424,0,5940,0.0713804713804714,0.0410809791406291,0.69485105672387,"review"
