"mcmc_case_id","scenario_id","source_model_id","likelihood_family","fit_structure","n_chains","n_draws","posterior_mean","posterior_median","posterior_q025","posterior_q975","posterior_mean_mae","canonical_raw_crossing_pairs","canonical_contract_crossing_pairs"
"asymmetric_laplace_tail__joint_qdesn_rhs","asymmetric_laplace_tail","joint_qdesn_rhs_vb","AL","joint",4,3000,0.225098633244816,0.225270715703503,0.19488490892217,0.253894960896529,0.163437153990644,4,0
"asymmetric_laplace_tail__qdesn_rhs_independent","asymmetric_laplace_tail","qdesn_rhs_independent_vb","AL","independent",4,3000,0.217975405885462,0.218022072420273,0.192708448666885,0.241810897431395,0.154463706170893,41,0
"asymmetric_laplace_tail__joint_exqdesn_rhs","asymmetric_laplace_tail","joint_exqdesn_rhs_vb","exAL","joint",6,4500,0.176516335549151,0.177044426111178,0.138257767175289,0.212465116014625,0.13216882088967,0,0
"asymmetric_laplace_tail__exqdesn_rhs_independent","asymmetric_laplace_tail","exqdesn_rhs_independent_vb","exAL","independent",6,4500,0.166340417076781,0.166043773112109,0.136198248994284,0.197305820389869,0.117787098994109,0,0
"gaussian_mixture_bridge__joint_qdesn_rhs","gaussian_mixture_bridge","joint_qdesn_rhs_vb","AL","joint",4,3000,0.217485664050965,0.217623995175371,0.186020535708277,0.248861139986885,0.16949492173358,0,0
"gaussian_mixture_bridge__qdesn_rhs_independent","gaussian_mixture_bridge","qdesn_rhs_independent_vb","AL","independent",4,3000,0.194180257259165,0.194203600476869,0.169837887469385,0.22037085270159,0.146964380927555,8,0
"gaussian_mixture_bridge__joint_exqdesn_rhs","gaussian_mixture_bridge","joint_exqdesn_rhs_vb","exAL","joint",6,4500,0.170138267896401,0.169487483476507,0.135237647236309,0.207812589456634,0.135014274616945,0,0
"gaussian_mixture_bridge__exqdesn_rhs_independent","gaussian_mixture_bridge","exqdesn_rhs_independent_vb","exAL","independent",6,4500,0.163760940466671,0.163363671545637,0.133512366729712,0.1951071881453,0.128455619997728,0,0
"laplace_bridge__joint_qdesn_rhs","laplace_bridge","joint_qdesn_rhs_vb","AL","joint",4,3000,0.221048806606169,0.221239391392749,0.201672336186467,0.239934142505815,0.166871156395657,9,0
"laplace_bridge__qdesn_rhs_independent","laplace_bridge","qdesn_rhs_independent_vb","AL","independent",4,3000,0.209386489207646,0.209362582243251,0.188426658842003,0.231303927939386,0.155601644768881,25,0
"laplace_bridge__joint_exqdesn_rhs","laplace_bridge","joint_exqdesn_rhs_vb","exAL","joint",6,4500,0.193512311311376,0.194030971187724,0.162514999444746,0.222378256710911,0.152926968824731,0,0
"laplace_bridge__exqdesn_rhs_independent","laplace_bridge","exqdesn_rhs_independent_vb","exAL","independent",6,4500,0.182991628114335,0.183164317475038,0.153685301237729,0.210433998564854,0.143694606252465,0,0
"nonlinear_reservoir_friendly__joint_qdesn_rhs","nonlinear_reservoir_friendly","joint_qdesn_rhs_vb","AL","joint",4,3000,0.323051516503482,0.323035678295018,0.296217973688077,0.348794152857767,0.242556985569531,15,0
"nonlinear_reservoir_friendly__qdesn_rhs_independent","nonlinear_reservoir_friendly","qdesn_rhs_independent_vb","AL","independent",4,3000,0.262310818096632,0.262245950960226,0.234301130644652,0.287813451821319,0.191143832820221,62,0
"nonlinear_reservoir_friendly__joint_exqdesn_rhs","nonlinear_reservoir_friendly","joint_exqdesn_rhs_vb","exAL","joint",6,4500,0.260361829347607,0.26093918854779,0.218936906486874,0.299594257591899,0.201427116435328,0,0
"nonlinear_reservoir_friendly__exqdesn_rhs_independent","nonlinear_reservoir_friendly","exqdesn_rhs_independent_vb","exAL","independent",6,4500,0.214913024336457,0.214808058412918,0.175967413597743,0.254649114760174,0.167383076550526,0,0
"normal_bridge__joint_qdesn_rhs","normal_bridge","joint_qdesn_rhs_vb","AL","joint",4,3000,0.181568441082563,0.181599282807067,0.160964844452816,0.202404343704177,0.144596717305442,2,0
"normal_bridge__qdesn_rhs_independent","normal_bridge","qdesn_rhs_independent_vb","AL","independent",4,3000,0.157414655276507,0.157269832261391,0.139979395866881,0.175591613141425,0.12286171947848,22,0
"normal_bridge__joint_exqdesn_rhs","normal_bridge","joint_exqdesn_rhs_vb","exAL","joint",6,4500,0.155890047301708,0.156276655845214,0.123881185536545,0.187067513939928,0.126354914842432,0,0
"normal_bridge__exqdesn_rhs_independent","normal_bridge","exqdesn_rhs_independent_vb","exAL","independent",6,4500,0.14657166684365,0.146756359160545,0.120315583005588,0.173299460967437,0.11880838421369,0,0
"persistent_heavy_tail__joint_qdesn_rhs","persistent_heavy_tail","joint_qdesn_rhs_vb","AL","joint",4,3000,0.216649405330385,0.216404230001466,0.187995662092639,0.245685363470231,0.166732377879279,3,0
"persistent_heavy_tail__qdesn_rhs_independent","persistent_heavy_tail","qdesn_rhs_independent_vb","AL","independent",4,3000,0.219689051595607,0.219308819552872,0.18950447803656,0.254017925989593,0.164801653624131,11,0
"persistent_heavy_tail__joint_exqdesn_rhs","persistent_heavy_tail","joint_exqdesn_rhs_vb","exAL","joint",6,4500,0.184178698307784,0.184369948521779,0.154928029209743,0.21333813688264,0.14409304516391,0,0
"persistent_heavy_tail__exqdesn_rhs_independent","persistent_heavy_tail","exqdesn_rhs_independent_vb","exAL","independent",6,4500,0.162867473491317,0.162656855141945,0.137883596770661,0.189269412311071,0.127197937945511,0,0
"regime_shift__joint_qdesn_rhs","regime_shift","joint_qdesn_rhs_vb","AL","joint",4,3000,0.134828117730089,0.134371081338094,0.102338720214646,0.171935767236381,0.106061887606361,0,0
"regime_shift__qdesn_rhs_independent","regime_shift","qdesn_rhs_independent_vb","AL","independent",4,3000,0.151386351155177,0.151522424433644,0.119477914313822,0.182491534386684,0.115743168716128,1,0
"regime_shift__joint_exqdesn_rhs","regime_shift","joint_exqdesn_rhs_vb","exAL","joint",6,4500,0.141449009475852,0.140666941042809,0.102975259451993,0.182442984357086,0.110032628427176,0,0
"regime_shift__exqdesn_rhs_independent","regime_shift","exqdesn_rhs_independent_vb","exAL","independent",6,4500,0.140929964051383,0.14051352676347,0.102582113623466,0.180431767345749,0.111020279174605,0,0
"student_t_location_scale__joint_qdesn_rhs","student_t_location_scale","joint_qdesn_rhs_vb","AL","joint",4,3000,0.165128207364107,0.164484198410818,0.14079634330711,0.192199960650062,0.12548464382204,0,0
"student_t_location_scale__qdesn_rhs_independent","student_t_location_scale","qdesn_rhs_independent_vb","AL","independent",4,3000,0.188422690831759,0.187974135407093,0.167525275940732,0.209861048675562,0.140747529194499,15,0
"student_t_location_scale__joint_exqdesn_rhs","student_t_location_scale","joint_exqdesn_rhs_vb","exAL","joint",6,4500,0.159508518292401,0.159663206634418,0.132252825425843,0.185515692999728,0.126769928646383,0,0
"student_t_location_scale__exqdesn_rhs_independent","student_t_location_scale","exqdesn_rhs_independent_vb","exAL","independent",6,4500,0.162985193149557,0.162775079512957,0.140188011346025,0.186550820527617,0.129412464584178,0,0
